2023-03-22 21:29:42,690: Mouse moved to (2321, 83)
2023-03-22 21:29:42,692: Mouse moved to (2313, 88)
2023-03-22 21:29:42,694: Mouse moved to (2306, 93)
2023-03-22 21:29:42,696: Mouse moved to (2297, 98)
2023-03-22 21:29:42,697: Mouse moved to (2287, 104)
2023-03-22 21:29:42,699: Mouse moved to (2278, 111)
2023-03-22 21:29:42,702: Mouse moved to (2268, 117)
2023-03-22 21:29:42,704: Mouse moved to (2258, 124)
2023-03-22 21:29:42,706: Mouse moved to (2247, 130)
2023-03-22 21:29:42,708: Mouse moved to (2234, 137)
2023-03-22 21:29:42,710: Mouse moved to (2223, 144)
2023-03-22 21:29:42,712: Mouse moved to (2210, 151)
2023-03-22 21:29:42,714: Mouse moved to (2197, 158)
2023-03-22 21:29:42,716: Mouse moved to (2179, 168)
2023-03-22 21:29:42,718: Mouse moved to (2161, 176)
2023-03-22 21:29:42,720: Mouse moved to (2143, 184)
2023-03-22 21:29:42,722: Mouse moved to (2125, 193)
2023-03-22 21:29:42,724: Mouse moved to (2107, 202)
2023-03-22 21:29:42,725: Mouse moved to (2086, 213)
2023-03-22 21:29:42,728: Mouse moved to (2066, 223)
2023-03-22 21:29:42,730: Mouse moved to (2042, 234)
2023-03-22 21:29:42,731: Mouse moved to (2022, 244)
2023-03-22 21:29:42,733: Mouse moved to (1998, 257)
2023-03-22 21:29:42,735: Mouse moved to (1972, 270)
2023-03-22 21:29:42,737: Mouse moved to (1948, 283)
2023-03-22 21:29:42,739: Mouse moved to (1925, 293)
2023-03-22 21:29:42,741: Mouse moved to (1902, 304)
2023-03-22 21:29:42,743: Mouse moved to (1873, 318)
2023-03-22 21:29:42,745: Mouse moved to (1847, 331)
2023-03-22 21:29:42,747: Mouse moved to (1824, 343)
2023-03-22 21:29:42,749: Mouse moved to (1798, 356)
2023-03-22 21:29:42,752: Mouse moved to (1774, 367)
2023-03-22 21:29:42,754: Mouse moved to (1748, 380)
2023-03-22 21:29:42,755: Mouse moved to (1722, 393)
2023-03-22 21:29:42,757: Mouse moved to (1699, 406)
